Material,Material share,Country,Mining share,Label,Area,Stakeholder,Indicator,Value
Nickel,0.754465588,Indonesia,0.304,Indonesia 30.4%,0.014334846,Local Community,Presence of indigenous population,3
Nickel,0.754465588,Indonesia,0.304,Indonesia 30.4%,0.014334846,Local Community,Sanitation coverage,4
Nickel,0.754465588,Indonesia,0.304,Indonesia 30.4%,0.009556564,Society,Embodied value added total,1
Nickel,0.754465588,Indonesia,0.304,Indonesia 30.4%,0.009556564,Society,Global Peace Index,2
Nickel,0.754465588,Indonesia,0.304,Indonesia 30.4%,0.009556564,Society,"Health expenditure, total",4
Nickel,0.754465588,Indonesia,0.304,Indonesia 30.4%,0.009556564,Society,"Illiteracy rate, total",3
Nickel,0.754465588,Indonesia,0.304,Indonesia 30.4%,0.009556564,Society,Life expectancy at birth,3
Nickel,0.754465588,Indonesia,0.304,Indonesia 30.4%,0.009556564,Society,Public expenditure on education,3
Nickel,0.754465588,Indonesia,0.304,Indonesia 30.4%,0.057339385,Value Chain Actors,Public sector corruption,5
Nickel,0.754465588,Indonesia,0.304,Indonesia 30.4%,0.008191341,Workers,"Children in employment, total",2
Nickel,0.754465588,Indonesia,0.304,Indonesia 30.4%,0.008191341,Workers,Evidence of violations of laws and employment regulations,3
Nickel,0.754465588,Indonesia,0.304,Indonesia 30.4%,0.008191341,Workers,"Sector average wage, per month",4
Nickel,0.754465588,Indonesia,0.304,Indonesia 30.4%,0.008191341,Workers,Trade union density,5
Nickel,0.754465588,Indonesia,0.304,Indonesia 30.4%,0.008191341,Workers,Weekly hours of work per employee,3
Nickel,0.754465588,Indonesia,0.304,Indonesia 30.4%,0.008191341,Workers,Women in the sectoral labour force,1
Nickel,0.754465588,Indonesia,0.304,Indonesia 30.4%,0.008191341,Workers,Workers affected by natural disasters,1
Nickel,0.754465588,New Caledonia,0.08,New Caledonia 8%,0.003772328,Local Community,Drinking water coverage,1
Nickel,0.754465588,New Caledonia,0.08,New Caledonia 8%,0.003772328,Local Community,International Migrant Stock,5
Nickel,0.754465588,New Caledonia,0.08,New Caledonia 8%,0.003772328,Local Community,Presence of indigenous population,3
Nickel,0.754465588,New Caledonia,0.08,New Caledonia 8%,0.003772328,Local Community,Sanitation coverage,4
Nickel,0.754465588,New Caledonia,0.08,New Caledonia 8%,0.002514885,Society,Embodied value added total,4
Nickel,0.754465588,New Caledonia,0.08,New Caledonia 8%,0.002514885,Society,Global Peace Index,4
Nickel,0.754465588,New Caledonia,0.08,New Caledonia 8%,0.002514885,Society,"Health expenditure, total",3
Nickel,0.754465588,New Caledonia,0.08,New Caledonia 8%,0.002514885,Society,"Illiteracy rate, total",2
