Country,Refining share,Label,Area,Stakeholder,Indicator,Value,Area if each stakeholder has the same weight,Subcategory
Spain,0.039629632,Spain 4%,0.002201646,Society,Embodied value added total,5,0.001651235,Contribution to economic development
Spain,0.039629632,Spain 4%,0.002201646,Society,Global Peace Index,2,0.001651235,Health and Safety
Spain,0.039629632,Spain 4%,0.002201646,Society,"Health expenditure, total",3,0.001651235,Health and Safety
Spain,0.039629632,Spain 4%,0.002201646,Society,"Illiteracy rate, total",2,0.001651235,Contribution to economic development
Spain,0.039629632,Spain 4%,0.002201646,Society,Life expectancy at birth,0,0.001651235,Health and Safety
Spain,0.039629632,Spain 4%,0.002201646,Society,Public expenditure on education,2,0.001651235,Contribution to economic development
Spain,0.039629632,Spain 4%,0.002201646,Value Chain Actors,Public sector corruption,4,0.009907408,Corruption
Spain,0.039629632,Spain 4%,0.002201646,Workers,"Children in employment, total",2,0.001415344,Child labour
Spain,0.039629632,Spain 4%,0.002201646,Workers,Evidence of violations of laws and employment regulations,3,0.001415344,"Social benefits, legal issues"
Spain,0.039629632,Spain 4%,0.002201646,Workers,"Sector average wage, per month",1,0.001415344,Fair Salary
Spain,0.039629632,Spain 4%,0.002201646,Workers,Trade union density,5,0.001415344,Freedom of association and collective bargaining
Spain,0.039629632,Spain 4%,0.002201646,Workers,Weekly hours of work per employee,2,0.001415344,Working time
Spain,0.039629632,Spain 4%,0.002201646,Workers,Women in the sectoral labour force,3,0.001415344,Discrimination
Spain,0.039629632,Spain 4%,0.002201646,Workers,Workers affected by natural disasters,1,0.001415344,Health and Safety
Japan,0.036549908,Japan 3.7%,0.00203055,Local Community,Drinking water coverage,1,0.002284369,Safe and healthy living conditions
Japan,0.036549908,Japan 3.7%,0.00203055,Local Community,International Migrant Stock,1,0.002284369,Migration
Japan,0.036549908,Japan 3.7%,0.00203055,Local Community,Presence of indigenous population,3,0.002284369,Respect of indigenous rights
Japan,0.036549908,Japan 3.7%,0.00203055,Local Community,Sanitation coverage,1,0.002284369,Safe and healthy living conditions
Japan,0.036549908,Japan 3.7%,0.00203055,Society,Embodied value added total,3,0.001522913,Contribution to economic development
Japan,0.036549908,Japan 3.7%,0.00203055,Society,Global Peace Index,1,0.001522913,Health and Safety
Japan,0.036549908,Japan 3.7%,0.00203055,Society,"Health expenditure, total",2,0.001522913,Health and Safety
Japan,0.036549908,Japan 3.7%,0.00203055,Society,"Illiteracy rate, total",2,0.001522913,Contribution to economic development
Japan,0.036549908,Japan 3.7%,0.00203055,Society,Life expectancy at birth,0,0.001522913,Health and Safety
Japan,0.036549908,Japan 3.7%,0.00203055,Society,Public expenditure on education,3,0.001522913,Contribution to economic development
Japan,0.036549908,Japan 3.7%,0.00203055,Value Chain Actors,Public sector corruption,3,0.009137477,Corruption
