Country,Refining share,Label,Area,Stakeholder,Indicator,Value,Area if each stakeholder has the same weight,Subcategory
China,0.354166667,China 35.4%,0.019675926,Local Community,Presence of indigenous population,3,0.022135417,Respect of indigenous rights
China,0.354166667,China 35.4%,0.019675926,Local Community,Sanitation coverage,4,0.022135417,Safe and healthy living conditions
China,0.354166667,China 35.4%,0.019675926,Society,Embodied value added total,4,0.014756944,Contribution to economic development
China,0.354166667,China 35.4%,0.019675926,Society,Global Peace Index,3,0.014756944,Health and Safety
China,0.354166667,China 35.4%,0.019675926,Society,"Health expenditure, total",4,0.014756944,Health and Safety
China,0.354166667,China 35.4%,0.019675926,Society,"Illiteracy rate, total",3,0.014756944,Contribution to economic development
China,0.354166667,China 35.4%,0.019675926,Society,Life expectancy at birth,1,0.014756944,Health and Safety
China,0.354166667,China 35.4%,0.019675926,Society,Public expenditure on education,2,0.014756944,Contribution to economic development
China,0.354166667,China 35.4%,0.019675926,Value Chain Actors,Public sector corruption,5,0.088541667,Corruption
China,0.354166667,China 35.4%,0.019675926,Workers,"Children in employment, total",4,0.01264881,Child labour
China,0.354166667,China 35.4%,0.019675926,Workers,Evidence of violations of laws and employment regulations,3,0.01264881,"Social benefits, legal issues"
China,0.354166667,China 35.4%,0.019675926,Workers,"Sector average wage, per month",1,0.01264881,Fair Salary
China,0.354166667,China 35.4%,0.019675926,Workers,Trade union density,3,0.01264881,Freedom of association and collective bargaining
China,0.354166667,China 35.4%,0.019675926,Workers,Weekly hours of work per employee,3,0.01264881,Working time
China,0.354166667,China 35.4%,0.019675926,Workers,Women in the sectoral labour force,1,0.01264881,Discrimination
China,0.354166667,China 35.4%,0.019675926,Workers,Workers affected by natural disasters,4,0.01264881,Health and Safety
Rest of the world,0.046296296,Rest of the world 4.6%,0.046296296,,,2.938514939,0.046296296,
