Country,Mining share,Label,Area,Stakeholder,Indicator,Value,Area if each stakeholder has the same weight,Subcategory
DRC,68%,DRC 67.9%,0.037698413,Society,Global Peace Index,5,0.02827381,Health and Safety
DRC,68%,DRC 67.9%,0.037698413,Society,"Health expenditure, total",4,0.02827381,Health and Safety
DRC,68%,DRC 67.9%,0.037698413,Society,"Illiteracy rate, total",5,0.02827381,Contribution to economic development
DRC,68%,DRC 67.9%,0.037698413,Society,Life expectancy at birth,5,0.02827381,Health and Safety
DRC,68%,DRC 67.9%,0.037698413,Society,Public expenditure on education,4,0.02827381,Contribution to economic development
DRC,68%,DRC 67.9%,0.037698413,Value Chain Actors,Public sector corruption,5,0.169642857,Corruption
DRC,68%,DRC 67.9%,0.037698413,Workers,"Children in employment, total",5,0.024234694,Child labour
DRC,68%,DRC 67.9%,0.037698413,Workers,Evidence of violations of laws and employment regulations,4,0.024234694,"Social benefits, legal issues"
DRC,68%,DRC 67.9%,0.037698413,Workers,"Sector average wage, per month",3,0.024234694,Fair Salary
DRC,68%,DRC 67.9%,0.037698413,Workers,Trade union density,5,0.024234694,Freedom of association and collective bargaining
DRC,68%,DRC 67.9%,0.037698413,Workers,Weekly hours of work per employee,3,0.024234694,Working time
DRC,68%,DRC 67.9%,0.037698413,Workers,Women in the sectoral labour force,1,0.024234694,Discrimination
DRC,68%,DRC 67.9%,0.037698413,Workers,Workers affected by natural disasters,1,0.024234694,Health and Safety
Papua New Guinea,2%,Papua New Guinea 2%,0.001111111,Local Community,Drinking water coverage,4,0.00125,Safe and healthy living conditions
Papua New Guinea,2%,Papua New Guinea 2%,0.001111111,Local Community,International Migrant Stock,1,0.00125,Migration
Papua New Guinea,2%,Papua New Guinea 2%,0.001111111,Local Community,Presence of indigenous population,3,0.00125,Respect of indigenous rights
Papua New Guinea,2%,Papua New Guinea 2%,0.001111111,Local Community,Sanitation coverage,4,0.00125,Safe and healthy living conditions
Papua New Guinea,2%,Papua New Guinea 2%,0.001111111,Society,Embodied value added total,2,0.000833333,Contribution to economic development
Papua New Guinea,2%,Papua New Guinea 2%,0.001111111,Society,Global Peace Index,3,0.000833333,Health and Safety
Papua New Guinea,2%,Papua New Guinea 2%,0.001111111,Society,"Health expenditure, total",5,0.000833333,Health and Safety
Papua New Guinea,2%,Papua New Guinea 2%,0.001111111,Society,"Illiteracy rate, total",4,0.000833333,Contribution to economic development
Papua New Guinea,2%,Papua New Guinea 2%,0.001111111,Society,Life expectancy at birth,4,0.000833333,Health and Safety
Papua New Guinea,2%,Papua New Guinea 2%,0.001111111,Society,Public expenditure on education,2,0.000833333,Contribution to economic development
Papua New Guinea,2%,Papua New Guinea 2%,0.001111111,Value Chain Actors,Public sector corruption,5,0.005,Corruption
Papua New Guinea,2%,Papua New Guinea 2%,0.001111111,Workers,"Children in employment, total",4,0.000714286,Child labour
Papua New Guinea,2%,Papua New Guinea 2%,0.001111111,Workers,Evidence of violations of laws and employment regulations,4,0.000714286,"Social benefits, legal issues"
Papua New Guinea,2%,Papua New Guinea 2%,0.001111111,Workers,"Sector average wage, per month",2,0.000714286,Fair Salary
Papua New Guinea,2%,Papua New Guinea 2%,0.001111111,Workers,Trade union density,5,0.000714286,Freedom of association and collective bargaining
Papua New Guinea,2%,Papua New Guinea 2%,0.001111111,Workers,Weekly hours of work per employee,4,0.000714286,Working time
