Country,Refining share,Label,Area,Stakeholder,Indicator,Value,Area if each stakeholder has the same weight,Subcategory
Mozambique,0.109090909,Mozambique 10.9%,0.006060606,Local Community,Presence of indigenous population,3,0.006818182,Respect of indigenous rights
Mozambique,0.109090909,Mozambique 10.9%,0.006060606,Local Community,Sanitation coverage,4,0.006818182,Safe and healthy living conditions
Mozambique,0.109090909,Mozambique 10.9%,0.006060606,Society,Embodied value added total,2,0.004545455,Contribution to economic development
Mozambique,0.109090909,Mozambique 10.9%,0.006060606,Society,Global Peace Index,3,0.004545455,Health and Safety
Mozambique,0.109090909,Mozambique 10.9%,0.006060606,Society,"Health expenditure, total",4,0.004545455,Health and Safety
Mozambique,0.109090909,Mozambique 10.9%,0.006060606,Society,"Illiteracy rate, total",3,0.004545455,Contribution to economic development
Mozambique,0.109090909,Mozambique 10.9%,0.006060606,Society,Life expectancy at birth,1,0.004545455,Health and Safety
Mozambique,0.109090909,Mozambique 10.9%,0.006060606,Society,Public expenditure on education,2,0.004545455,Contribution to economic development
Mozambique,0.109090909,Mozambique 10.9%,0.006060606,Value Chain Actors,Public sector corruption,5,0.027272727,Corruption
Mozambique,0.109090909,Mozambique 10.9%,0.006060606,Workers,"Children in employment, total",4,0.003896104,Child labour
Mozambique,0.109090909,Mozambique 10.9%,0.006060606,Workers,Evidence of violations of laws and employment regulations,3,0.003896104,"Social benefits, legal issues"
Mozambique,0.109090909,Mozambique 10.9%,0.006060606,Workers,"Sector average wage, per month",1,0.003896104,Fair Salary
Mozambique,0.109090909,Mozambique 10.9%,0.006060606,Workers,Trade union density,3,0.003896104,Freedom of association and collective bargaining
Mozambique,0.109090909,Mozambique 10.9%,0.006060606,Workers,Weekly hours of work per employee,3,0.003896104,Working time
Mozambique,0.109090909,Mozambique 10.9%,0.006060606,Workers,Women in the sectoral labour force,1,0.003896104,Discrimination
Mozambique,0.109090909,Mozambique 10.9%,0.006060606,Workers,Workers affected by natural disasters,4,0.003896104,Health and Safety
Rest of the world,0.170909091,Rest of the world 17.1%,0.170909091,,,3.207648026,0.170909091,
