Country,Mining share,Label,Area,Stakeholder,Indicator,,Value,Area if each stakeholder has the same weight,Subcategory
DRC,7%,DRC 6.5%,0.003611111,Society,Global Peace Index,,5,0.002708333,Health and Safety
DRC,7%,DRC 6.5%,0.003611111,Society,"Health expenditure, total",,4,0.002708333,Health and Safety
DRC,7%,DRC 6.5%,0.003611111,Society,"Illiteracy rate, total",,5,0.002708333,Contribution to economic development
DRC,7%,DRC 6.5%,0.003611111,Society,Life expectancy at birth,,5,0.002708333,Health and Safety
DRC,7%,DRC 6.5%,0.003611111,Society,Public expenditure on education,,4,0.002708333,Contribution to economic development
DRC,7%,DRC 6.5%,0.003611111,Value Chain Actors,Public sector corruption,,5,0.01625,Corruption
DRC,7%,DRC 6.5%,0.003611111,Workers,"Children in employment, total",,5,0.002321429,Child labour
DRC,7%,DRC 6.5%,0.003611111,Workers,Evidence of violations of laws and employment regulations,,4,0.002321429,"Social benefits, legal issues"
DRC,7%,DRC 6.5%,0.003611111,Workers,"Sector average wage, per month",,3,0.002321429,Fair Salary
DRC,7%,DRC 6.5%,0.003611111,Workers,Trade union density,,5,0.002321429,Freedom of association and collective bargaining
DRC,7%,DRC 6.5%,0.003611111,Workers,Weekly hours of work per employee,,3,0.002321429,Working time
DRC,7%,DRC 6.5%,0.003611111,Workers,Women in the sectoral labour force,,1,0.002321429,Discrimination
DRC,7%,DRC 6.5%,0.003611111,Workers,Workers affected by natural disasters,,1,0.002321429,Health and Safety
Kazakhstan,3%,Kazakhstan 2.9%,0.001611111,Local Community,Drinking water coverage,,2,0.0018125,Safe and healthy living conditions
Kazakhstan,3%,Kazakhstan 2.9%,0.001611111,Local Community,International Migrant Stock,,5,0.0018125,Migration
Kazakhstan,3%,Kazakhstan 2.9%,0.001611111,Local Community,Presence of indigenous population,,0,0.0018125,Respect of indigenous rights
Kazakhstan,3%,Kazakhstan 2.9%,0.001611111,Local Community,Sanitation coverage,,4,0.0018125,Safe and healthy living conditions
Kazakhstan,3%,Kazakhstan 2.9%,0.001611111,Society,Embodied value added total,,3,0.001208333,Contribution to economic development
Kazakhstan,3%,Kazakhstan 2.9%,0.001611111,Society,Global Peace Index,,2,0.001208333,Health and Safety
Kazakhstan,3%,Kazakhstan 2.9%,0.001611111,Society,"Health expenditure, total",,4,0.001208333,Health and Safety
Kazakhstan,3%,Kazakhstan 2.9%,0.001611111,Society,"Illiteracy rate, total",,1,0.001208333,Contribution to economic development
Kazakhstan,3%,Kazakhstan 2.9%,0.001611111,Society,Life expectancy at birth,,2,0.001208333,Health and Safety
Kazakhstan,3%,Kazakhstan 2.9%,0.001611111,Society,Public expenditure on education,,3,0.001208333,Contribution to economic development
Kazakhstan,3%,Kazakhstan 2.9%,0.001611111,Value Chain Actors,Public sector corruption,,5,0.00725,Corruption
Kazakhstan,3%,Kazakhstan 2.9%,0.001611111,Workers,"Children in employment, total",,2,0.001035714,Child labour
Kazakhstan,3%,Kazakhstan 2.9%,0.001611111,Workers,Evidence of violations of laws and employment regulations,,3,0.001035714,"Social benefits, legal issues"
Kazakhstan,3%,Kazakhstan 2.9%,0.001611111,Workers,"Sector average wage, per month",,2,0.001035714,Fair Salary
Kazakhstan,3%,Kazakhstan 2.9%,0.001611111,Workers,Trade union density,,4,0.001035714,Freedom of association and collective bargaining
Kazakhstan,3%,Kazakhstan 2.9%,0.001611111,Workers,Weekly hours of work per employee,,2,0.001035714,Working time
