Country,Refining share,Label,Area,Stakeholder,Indicator,Value,Area if each stakeholder has the same weight,Subcategory
Indonesia,0.162816008,Indonesia 16.3%,0.009045334,Society,Embodied value added total,3,0.006784,Contribution to economic development
Indonesia,0.162816008,Indonesia 16.3%,0.009045334,Society,Global Peace Index,2,0.006784,Health and Safety
Indonesia,0.162816008,Indonesia 16.3%,0.009045334,Society,"Health expenditure, total",4,0.006784,Health and Safety
Indonesia,0.162816008,Indonesia 16.3%,0.009045334,Society,"Illiteracy rate, total",3,0.006784,Contribution to economic development
Indonesia,0.162816008,Indonesia 16.3%,0.009045334,Society,Life expectancy at birth,3,0.006784,Health and Safety
Indonesia,0.162816008,Indonesia 16.3%,0.009045334,Society,Public expenditure on education,3,0.006784,Contribution to economic development
Indonesia,0.162816008,Indonesia 16.3%,0.009045334,Value Chain Actors,Public sector corruption,5,0.040704002,Corruption
Indonesia,0.162816008,Indonesia 16.3%,0.009045334,Workers,"Children in employment, total",2,0.005814857,Child labour
Indonesia,0.162816008,Indonesia 16.3%,0.009045334,Workers,Evidence of violations of laws and employment regulations,3,0.005814857,"Social benefits, legal issues"
Indonesia,0.162816008,Indonesia 16.3%,0.009045334,Workers,"Sector average wage, per month",4,0.005814857,Fair Salary
Indonesia,0.162816008,Indonesia 16.3%,0.009045334,Workers,Trade union density,5,0.005814857,Freedom of association and collective bargaining
Indonesia,0.162816008,Indonesia 16.3%,0.009045334,Workers,Weekly hours of work per employee,3,0.005814857,Working time
Indonesia,0.162816008,Indonesia 16.3%,0.009045334,Workers,Women in the sectoral labour force,1,0.005814857,Discrimination
Indonesia,0.162816008,Indonesia 16.3%,0.009045334,Workers,Workers affected by natural disasters,1,0.005814857,Health and Safety
Japan,0.072729792,Japan 7.3%,0.004040544,Local Community,Drinking water coverage,1,0.004545612,Safe and healthy living conditions
Japan,0.072729792,Japan 7.3%,0.004040544,Local Community,International Migrant Stock,1,0.004545612,Migration
Japan,0.072729792,Japan 7.3%,0.004040544,Local Community,Presence of indigenous population,3,0.004545612,Respect of indigenous rights
Japan,0.072729792,Japan 7.3%,0.004040544,Local Community,Sanitation coverage,1,0.004545612,Safe and healthy living conditions
Japan,0.072729792,Japan 7.3%,0.004040544,Society,Embodied value added total,3,0.003030408,Contribution to economic development
Japan,0.072729792,Japan 7.3%,0.004040544,Society,Global Peace Index,1,0.003030408,Health and Safety
Japan,0.072729792,Japan 7.3%,0.004040544,Society,"Health expenditure, total",2,0.003030408,Health and Safety
Japan,0.072729792,Japan 7.3%,0.004040544,Society,"Illiteracy rate, total",2,0.003030408,Contribution to economic development
Japan,0.072729792,Japan 7.3%,0.004040544,Society,Life expectancy at birth,0,0.003030408,Health and Safety
Japan,0.072729792,Japan 7.3%,0.004040544,Society,Public expenditure on education,3,0.003030408,Contribution to economic development
Japan,0.072729792,Japan 7.3%,0.004040544,Value Chain Actors,Public sector corruption,3,0.018182448,Corruption
Japan,0.072729792,Japan 7.3%,0.004040544,Workers,"Children in employment, total",2,0.002597493,Child labour
Japan,0.072729792,Japan 7.3%,0.004040544,Workers,Evidence of violations of laws and employment regulations,4,0.002597493,"Social benefits, legal issues"
Japan,0.072729792,Japan 7.3%,0.004040544,Workers,"Sector average wage, per month",1,0.002597493,Fair Salary
Japan,0.072729792,Japan 7.3%,0.004040544,Workers,Trade union density,5,0.002597493,Freedom of association and collective bargaining
Japan,0.072729792,Japan 7.3%,0.004040544,Workers,Weekly hours of work per employee,4,0.002597493,Working time
Japan,0.072729792,Japan 7.3%,0.004040544,Workers,Women in the sectoral labour force,2,0.002597493,Discrimination
Japan,0.072729792,Japan 7.3%,0.004040544,Workers,Workers affected by natural disasters,1,0.002597493,Health and Safety
Philippines,0.072729792,Philippines 7.3%,0.004040544,Local Community,Drinking water coverage,2,0.004545612,Safe and healthy living conditions
Philippines,0.072729792,Philippines 7.3%,0.004040544,Local Community,International Migrant Stock,1,0.004545612,Migration
Philippines,0.072729792,Philippines 7.3%,0.004040544,Local Community,Presence of indigenous population,3,0.004545612,Respect of indigenous rights
