Country,Refining share,Label,Area,Stakeholder,Indicator,Value,Area if each stakeholder has the same weight,Subcategory
China,63%,China 63.3%,0.035159157,Society,Global Peace Index,3,0.026369367,Health and Safety
China,63%,China 63.3%,0.035159157,Society,"Health expenditure, total",4,0.026369367,Health and Safety
China,63%,China 63.3%,0.035159157,Society,"Illiteracy rate, total",3,0.026369367,Contribution to economic development
China,63%,China 63.3%,0.035159157,Society,Life expectancy at birth,1,0.026369367,Health and Safety
China,63%,China 63.3%,0.035159157,Society,Public expenditure on education,2,0.026369367,Contribution to economic development
China,63%,China 63.3%,0.035159157,Value Chain Actors,Public sector corruption,5,0.158216204,Corruption
China,63%,China 63.3%,0.035159157,Workers,"Children in employment, total",4,0.022602315,Child labour
China,63%,China 63.3%,0.035159157,Workers,Evidence of violations of laws and employment regulations,3,0.022602315,"Social benefits, legal issues"
China,63%,China 63.3%,0.035159157,Workers,"Sector average wage, per month",1,0.022602315,Fair Salary
China,63%,China 63.3%,0.035159157,Workers,Trade union density,3,0.022602315,Freedom of association and collective bargaining
China,63%,China 63.3%,0.035159157,Workers,Weekly hours of work per employee,3,0.022602315,Working time
China,63%,China 63.3%,0.035159157,Workers,Women in the sectoral labour force,1,0.022602315,Discrimination
China,63%,China 63.3%,0.035159157,Workers,Workers affected by natural disasters,4,0.022602315,Health and Safety
Finland,9%,Finland 9.2%,0.005120972,Local Community,Drinking water coverage,2,0.005761094,Safe and healthy living conditions
Finland,9%,Finland 9.2%,0.005120972,Local Community,International Migrant Stock,3,0.005761094,Migration
Finland,9%,Finland 9.2%,0.005120972,Local Community,Presence of indigenous population,3,0.005761094,Respect of indigenous rights
Finland,9%,Finland 9.2%,0.005120972,Local Community,Sanitation coverage,2,0.005761094,Safe and healthy living conditions
Finland,9%,Finland 9.2%,0.005120972,Society,Embodied value added total,5,0.003840729,Contribution to economic development
Finland,9%,Finland 9.2%,0.005120972,Society,Global Peace Index,2,0.003840729,Health and Safety
Finland,9%,Finland 9.2%,0.005120972,Society,"Health expenditure, total",3,0.003840729,Health and Safety
Finland,9%,Finland 9.2%,0.005120972,Society,"Illiteracy rate, total",1,0.003840729,Contribution to economic development
Finland,9%,Finland 9.2%,0.005120972,Society,Life expectancy at birth,0,0.003840729,Health and Safety
Finland,9%,Finland 9.2%,0.005120972,Society,Public expenditure on education,1,0.003840729,Contribution to economic development
Finland,9%,Finland 9.2%,0.005120972,Value Chain Actors,Public sector corruption,1,0.023044374,Corruption
Finland,9%,Finland 9.2%,0.005120972,Workers,"Children in employment, total",2,0.003292053,Child labour
Finland,9%,Finland 9.2%,0.005120972,Workers,Evidence of violations of laws and employment regulations,3,0.003292053,"Social benefits, legal issues"
Finland,9%,Finland 9.2%,0.005120972,Workers,"Sector average wage, per month",2,0.003292053,Fair Salary
Finland,9%,Finland 9.2%,0.005120972,Workers,Trade union density,2,0.003292053,Freedom of association and collective bargaining
Finland,9%,Finland 9.2%,0.005120972,Workers,Weekly hours of work per employee,3,0.003292053,Working time
Finland,9%,Finland 9.2%,0.005120972,Workers,Women in the sectoral labour force,3,0.003292053,Discrimination
Finland,9%,Finland 9.2%,0.005120972,Workers,Workers affected by natural disasters,1,0.003292053,Health and Safety
Japan,4%,Japan 4.3%,0.002412082,Local Community,Drinking water coverage,1,0.002713592,Safe and healthy living conditions
Japan,4%,Japan 4.3%,0.002412082,Local Community,International Migrant Stock,1,0.002713592,Migration
Japan,4%,Japan 4.3%,0.002412082,Local Community,Presence of indigenous population,3,0.002713592,Respect of indigenous rights
Japan,4%,Japan 4.3%,0.002412082,Local Community,Sanitation coverage,1,0.002713592,Safe and healthy living conditions
Japan,4%,Japan 4.3%,0.002412082,Society,Embodied value added total,3,0.001809061,Contribution to economic development
Japan,4%,Japan 4.3%,0.002412082,Society,Global Peace Index,1,0.001809061,Health and Safety
Japan,4%,Japan 4.3%,0.002412082,Society,"Health expenditure, total",2,0.001809061,Health and Safety
Japan,4%,Japan 4.3%,0.002412082,Society,"Illiteracy rate, total",2,0.001809061,Contribution to economic development
Japan,4%,Japan 4.3%,0.002412082,Society,Life expectancy at birth,0,0.001809061,Health and Safety
Japan,4%,Japan 4.3%,0.002412082,Society,Public expenditure on education,3,0.001809061,Contribution to economic development
Japan,4%,Japan 4.3%,0.002412082,Value Chain Actors,Public sector corruption,3,0.010854368,Corruption
Japan,4%,Japan 4.3%,0.002412082,Workers,"Children in employment, total",2,0.001550624,Child labour
Japan,4%,Japan 4.3%,0.002412082,Workers,Evidence of violations of laws and employment regulations,4,0.001550624,"Social benefits, legal issues"
Japan,4%,Japan 4.3%,0.002412082,Workers,"Sector average wage, per month",1,0.001550624,Fair Salary
Japan,4%,Japan 4.3%,0.002412082,Workers,Trade union density,5,0.001550624,Freedom of association and collective bargaining
Japan,4%,Japan 4.3%,0.002412082,Workers,Weekly hours of work per employee,4,0.001550624,Working time
Japan,4%,Japan 4.3%,0.002412082,Workers,Women in the sectoral labour force,2,0.001550624,Discrimination
Japan,4%,Japan 4.3%,0.002412082,Workers,Workers affected by natural disasters,1,0.001550624,Health and Safety
Madagascar,2%,Madagascar 2.1%,0.001185599,Local Community,Drinking water coverage,4,0.001333799,Safe and healthy living conditions
Madagascar,2%,Madagascar 2.1%,0.001185599,Local Community,International Migrant Stock,1,0.001333799,Migration
Madagascar,2%,Madagascar 2.1%,0.001185599,Local Community,Presence of indigenous population,3,0.001333799,Respect of indigenous rights
Madagascar,2%,Madagascar 2.1%,0.001185599,Local Community,Sanitation coverage,5,0.001333799,Safe and healthy living conditions
Madagascar,2%,Madagascar 2.1%,0.001185599,Society,Embodied value added total,3,0.0008892,Contribution to economic development
Madagascar,2%,Madagascar 2.1%,0.001185599,Society,Global Peace Index,2,0.0008892,Health and Safety
Madagascar,2%,Madagascar 2.1%,0.001185599,Society,"Health expenditure, total",3,0.0008892,Health and Safety
Madagascar,2%,Madagascar 2.1%,0.001185599,Society,"Illiteracy rate, total",5,0.0008892,Contribution to economic development
Madagascar,2%,Madagascar 2.1%,0.001185599,Society,Life expectancy at birth,3,0.0008892,Health and Safety
Madagascar,2%,Madagascar 2.1%,0.001185599,Society,Public expenditure on education,3,0.0008892,Contribution to economic development
Madagascar,2%,Madagascar 2.1%,0.001185599,Value Chain Actors,Public sector corruption,5,0.005335198,Corruption
Madagascar,2%,Madagascar 2.1%,0.001185599,Workers,"Children in employment, total",5,0.000762171,Child labour
Madagascar,2%,Madagascar 2.1%,0.001185599,Workers,Evidence of violations of laws and employment regulations,4,0.000762171,"Social benefits, legal issues"
Madagascar,2%,Madagascar 2.1%,0.001185599,Workers,"Sector average wage, per month",5,0.000762171,Fair Salary
Madagascar,2%,Madagascar 2.1%,0.001185599,Workers,Trade union density,5,0.000762171,Freedom of association and collective bargaining
Madagascar,2%,Madagascar 2.1%,0.001185599,Workers,Weekly hours of work per employee,3,0.000762171,Working time
Madagascar,2%,Madagascar 2.1%,0.001185599,Workers,Women in the sectoral labour force,1,0.000762171,Discrimination
Madagascar,2%,Madagascar 2.1%,0.001185599,Workers,Workers affected by natural disasters,2,0.000762171,Health and Safety
Norway,3%,Norway 3.2%,0.001780035,Local Community,Drinking water coverage,2,0.002002539,Safe and healthy living conditions
Norway,3%,Norway 3.2%,0.001780035,Local Community,International Migrant Stock,4,0.002002539,Migration
Norway,3%,Norway 3.2%,0.001780035,Local Community,Presence of indigenous population,3,0.002002539,Respect of indigenous rights
Norway,3%,Norway 3.2%,0.001780035,Local Community,Sanitation coverage,3,0.002002539,Safe and healthy living conditions
