Material,Material share,Country,Mining share,Label,Area,Stakeholder,Indicator,Value
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.003052083,Local Community,Presence of indigenous population,3
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.003052083,Local Community,Sanitation coverage,4
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.002034722,Society,Embodied value added total,1
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.002034722,Society,Global Peace Index,2
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.002034722,Society,"Health expenditure, total",4
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.002034722,Society,"Illiteracy rate, total",3
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.002034722,Society,Life expectancy at birth,3
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.002034722,Society,Public expenditure on education,3
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.01220833,Value Chain Actors,Public sector corruption,5
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.001744047,Workers,"Children in employment, total",2
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.001744047,Workers,Evidence of violations of laws and employment regulations,3
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.001744047,Workers,"Sector average wage, per month",4
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.001744047,Workers,Trade union density,5
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.001744047,Workers,Weekly hours of work per employee,3
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.001744047,Workers,Women in the sectoral labour force,1
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.001744047,Workers,Workers affected by natural disasters,1
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.00080318,Local Community,Drinking water coverage,1
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.00080318,Local Community,International Migrant Stock,5
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.00080318,Local Community,Presence of indigenous population,3
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.00080318,Local Community,Sanitation coverage,4
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.000535453,Society,Embodied value added total,4
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.000535453,Society,Global Peace Index,4
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.000535453,Society,"Health expenditure, total",3
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.000535453,Society,"Illiteracy rate, total",2
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.000535453,Society,Life expectancy at birth,1
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.000535453,Society,Public expenditure on education,2
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.003212718,Value Chain Actors,Public sector corruption,4
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.00045896,Workers,"Children in employment, total",3
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.00045896,Workers,Evidence of violations of laws and employment regulations,4
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.00045896,Workers,"Sector average wage, per month",2
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.00045896,Workers,Trade union density,4
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.00045896,Workers,Weekly hours of work per employee,3
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.00045896,Workers,Women in the sectoral labour force,2
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.00045896,Workers,Workers affected by natural disasters,1
Nickel,0.160635923,Philippines,0.128,Philippines 12.8%,0.001285087,Local Community,Drinking water coverage,2
Nickel,0.160635923,Philippines,0.128,Philippines 12.8%,0.001285087,Local Community,International Migrant Stock,1
Nickel,0.160635923,Philippines,0.128,Philippines 12.8%,0.001285087,Local Community,Presence of indigenous population,3
Nickel,0.160635923,Philippines,0.128,Philippines 12.8%,0.001285087,Local Community,Sanitation coverage,4
Nickel,0.160635923,Philippines,0.128,Philippines 12.8%,0.000856725,Society,Embodied value added total,1
Nickel,0.160635923,Philippines,0.128,Philippines 12.8%,0.000856725,Society,Global Peace Index,4
Nickel,0.160635923,Philippines,0.128,Philippines 12.8%,0.000856725,Society,"Health expenditure, total",4
Nickel,0.160635923,Philippines,0.128,Philippines 12.8%,0.000856725,Society,"Illiteracy rate, total",2
Nickel,0.160635923,Philippines,0.128,Philippines 12.8%,0.000856725,Society,Life expectancy at birth,3
Nickel,0.160635923,Philippines,0.128,Philippines 12.8%,0.000856725,Society,Public expenditure on education,3
Nickel,0.160635923,Philippines,0.128,Philippines 12.8%,0.00514035,Value Chain Actors,Public sector corruption,5
Nickel,0.160635923,Philippines,0.128,Philippines 12.8%,0.000734336,Workers,"Children in employment, total",3
Nickel,0.160635923,Philippines,0.128,Philippines 12.8%,0.000734336,Workers,Evidence of violations of laws and employment regulations,3
Nickel,0.160635923,Philippines,0.128,Philippines 12.8%,0.000734336,Workers,"Sector average wage, per month",4
Nickel,0.160635923,Philippines,0.128,Philippines 12.8%,0.000734336,Workers,Trade union density,5
Nickel,0.160635923,Philippines,0.128,Philippines 12.8%,0.000734336,Workers,Weekly hours of work per employee,3
Nickel,0.160635923,Philippines,0.128,Philippines 12.8%,0.000734336,Workers,Women in the sectoral labour force,5
Nickel,0.160635923,Philippines,0.128,Philippines 12.8%,0.000734336,Workers,Workers affected by natural disasters,5
Nickel,0.160635923,Russia,0.112,Russia 11.2%,0.001124451,Local Community,Drinking water coverage,5
Nickel,0.160635923,Russia,0.112,Russia 11.2%,0.001124451,Local Community,International Migrant Stock,3
Nickel,0.160635923,Russia,0.112,Russia 11.2%,0.001124451,Local Community,Presence of indigenous population,3
Nickel,0.160635923,Russia,0.112,Russia 11.2%,0.001124451,Local Community,Sanitation coverage,3
Nickel,0.160635923,Russia,0.112,Russia 11.2%,0.000749634,Society,Embodied value added total,5
Nickel,0.160635923,Russia,0.112,Russia 11.2%,0.000749634,Society,Global Peace Index,5
Nickel,0.160635923,Russia,0.112,Russia 11.2%,0.000749634,Society,"Health expenditure, total",3
Nickel,0.160635923,Russia,0.112,Russia 11.2%,0.000749634,Society,"Illiteracy rate, total",1
Nickel,0.160635923,Russia,0.112,Russia 11.2%,0.000749634,Society,Life expectancy at birth,2
Nickel,0.160635923,Russia,0.112,Russia 11.2%,0.000749634,Society,Public expenditure on education,3
Nickel,0.160635923,Russia,0.112,Russia 11.2%,0.004497806,Value Chain Actors,Public sector corruption,5
Nickel,0.160635923,Russia,0.112,Russia 11.2%,0.000642544,Workers,"Children in employment, total",4
Nickel,0.160635923,Russia,0.112,Russia 11.2%,0.000642544,Workers,Evidence of violations of laws and employment regulations,3
Nickel,0.160635923,Russia,0.112,Russia 11.2%,0.000642544,Workers,"Sector average wage, per month",2
Nickel,0.160635923,Russia,0.112,Russia 11.2%,0.000642544,Workers,Trade union density,4
Nickel,0.160635923,Russia,0.112,Russia 11.2%,0.000642544,Workers,Weekly hours of work per employee,4
Nickel,0.160635923,Russia,0.112,Russia 11.2%,0.000642544,Workers,Women in the sectoral labour force,1
Nickel,0.160635923,Russia,0.112,Russia 11.2%,0.000642544,Workers,Workers affected by natural disasters,1
Nickel,0.160635923,Rest of the world,0.2,Rest of the world 20%,0.032127185,,,3.215982143
Manganese,0.451074067,Australia,0.178378378,Australia 17.8%,0.005028866,Local Community,Drinking water coverage,1
Manganese,0.451074067,Australia,0.178378378,Australia 17.8%,0.005028866,Local Community,International Migrant Stock,5
