Material,Material share,Country,Mining share,Label,Area,Stakeholder,Indicator,Value
Nickel,0.569063794,Australia,0.068,Australia 6.8%,0.002418521,Local Community,Drinking water coverage,1
Nickel,0.569063794,Australia,0.068,Australia 6.8%,0.002418521,Local Community,International Migrant Stock,5
Nickel,0.569063794,Australia,0.068,Australia 6.8%,0.002418521,Local Community,Presence of indigenous population,3
Nickel,0.569063794,Australia,0.068,Australia 6.8%,0.002418521,Local Community,Sanitation coverage,3
Nickel,0.569063794,Australia,0.068,Australia 6.8%,0.001612347,Society,Embodied value added total,5
Nickel,0.569063794,Australia,0.068,Australia 6.8%,0.001612347,Society,Global Peace Index,1
Nickel,0.569063794,Australia,0.068,Australia 6.8%,0.001612347,Society,"Health expenditure, total",3
Nickel,0.569063794,Australia,0.068,Australia 6.8%,0.001612347,Society,"Illiteracy rate, total",3
Nickel,0.569063794,Australia,0.068,Australia 6.8%,0.001612347,Society,Life expectancy at birth,0
Nickel,0.569063794,Australia,0.068,Australia 6.8%,0.001612347,Society,Public expenditure on education,2
Nickel,0.569063794,Australia,0.068,Australia 6.8%,0.009674084,Value Chain Actors,Public sector corruption,2
Nickel,0.569063794,Australia,0.068,Australia 6.8%,0.001382012,Workers,"Children in employment, total",2
Nickel,0.569063794,Australia,0.068,Australia 6.8%,0.001382012,Workers,Evidence of violations of laws and employment regulations,3
Nickel,0.569063794,Australia,0.068,Australia 6.8%,0.001382012,Workers,"Sector average wage, per month",1
Nickel,0.569063794,Australia,0.068,Australia 6.8%,0.001382012,Workers,Trade union density,5
Nickel,0.569063794,Australia,0.068,Australia 6.8%,0.001382012,Workers,Weekly hours of work per employee,3
Nickel,0.569063794,Australia,0.068,Australia 6.8%,0.001382012,Workers,Women in the sectoral labour force,4
Nickel,0.569063794,Australia,0.068,Australia 6.8%,0.001382012,Workers,Workers affected by natural disasters,1
Nickel,0.569063794,Canada,0.06,Canada 6%,0.002133989,Local Community,Drinking water coverage,1
Nickel,0.569063794,Canada,0.06,Canada 6%,0.002133989,Local Community,International Migrant Stock,5
Nickel,0.569063794,Canada,0.06,Canada 6%,0.002133989,Local Community,Presence of indigenous population,3
Nickel,0.569063794,Canada,0.06,Canada 6%,0.002133989,Local Community,Sanitation coverage,3
Nickel,0.569063794,Canada,0.06,Canada 6%,0.001422659,Society,Embodied value added total,1
Nickel,0.569063794,Canada,0.06,Canada 6%,0.001422659,Society,Global Peace Index,1
Nickel,0.569063794,Canada,0.06,Canada 6%,0.001422659,Society,"Health expenditure, total",2
Nickel,0.569063794,Canada,0.06,Canada 6%,0.001422659,Society,"Illiteracy rate, total",1
Nickel,0.569063794,Canada,0.06,Canada 6%,0.001422659,Society,Life expectancy at birth,0
Nickel,0.569063794,Canada,0.06,Canada 6%,0.001422659,Society,Public expenditure on education,2
Nickel,0.569063794,Canada,0.06,Canada 6%,0.008535957,Value Chain Actors,Public sector corruption,2
Nickel,0.569063794,Canada,0.06,Canada 6%,0.001219422,Workers,"Children in employment, total",2
Nickel,0.569063794,Canada,0.06,Canada 6%,0.001219422,Workers,Evidence of violations of laws and employment regulations,3
Nickel,0.569063794,Canada,0.06,Canada 6%,0.001219422,Workers,"Sector average wage, per month",3
Nickel,0.569063794,Canada,0.06,Canada 6%,0.001219422,Workers,Trade union density,4
Nickel,0.569063794,Canada,0.06,Canada 6%,0.001219422,Workers,Weekly hours of work per employee,3
Nickel,0.569063794,Canada,0.06,Canada 6%,0.001219422,Workers,Women in the sectoral labour force,5
Nickel,0.569063794,Canada,0.06,Canada 6%,0.001219422,Workers,Workers affected by natural disasters,1
Nickel,0.569063794,China,0.048,China 4.8%,0.001707191,Local Community,Drinking water coverage,2
Nickel,0.569063794,China,0.048,China 4.8%,0.001707191,Local Community,International Migrant Stock,1
Nickel,0.569063794,China,0.048,China 4.8%,0.001707191,Local Community,Presence of indigenous population,3
Nickel,0.569063794,China,0.048,China 4.8%,0.001707191,Local Community,Sanitation coverage,4
Nickel,0.569063794,China,0.048,China 4.8%,0.001138128,Society,Embodied value added total,2
Nickel,0.569063794,China,0.048,China 4.8%,0.001138128,Society,Global Peace Index,3
Nickel,0.569063794,China,0.048,China 4.8%,0.001138128,Society,"Health expenditure, total",4
Nickel,0.569063794,China,0.048,China 4.8%,0.001138128,Society,"Illiteracy rate, total",3
Nickel,0.569063794,China,0.048,China 4.8%,0.001138128,Society,Life expectancy at birth,1
Nickel,0.569063794,China,0.048,China 4.8%,0.001138128,Society,Public expenditure on education,2
Nickel,0.569063794,China,0.048,China 4.8%,0.006828766,Value Chain Actors,Public sector corruption,5
Nickel,0.569063794,China,0.048,China 4.8%,0.000975538,Workers,"Children in employment, total",4
Nickel,0.569063794,China,0.048,China 4.8%,0.000975538,Workers,Evidence of violations of laws and employment regulations,3
Nickel,0.569063794,China,0.048,China 4.8%,0.000975538,Workers,"Sector average wage, per month",1
Nickel,0.569063794,China,0.048,China 4.8%,0.000975538,Workers,Trade union density,3
Nickel,0.569063794,China,0.048,China 4.8%,0.000975538,Workers,Weekly hours of work per employee,3
Nickel,0.569063794,China,0.048,China 4.8%,0.000975538,Workers,Women in the sectoral labour force,1
Nickel,0.569063794,China,0.048,China 4.8%,0.000975538,Workers,Workers affected by natural disasters,4
Nickel,0.569063794,Indonesia,0.304,Indonesia 30.4%,0.010812212,Local Community,Drinking water coverage,3
Nickel,0.569063794,Indonesia,0.304,Indonesia 30.4%,0.010812212,Local Community,International Migrant Stock,1
Nickel,0.569063794,Indonesia,0.304,Indonesia 30.4%,0.010812212,Local Community,Presence of indigenous population,3
Nickel,0.569063794,Indonesia,0.304,Indonesia 30.4%,0.010812212,Local Community,Sanitation coverage,4
Nickel,0.569063794,Indonesia,0.304,Indonesia 30.4%,0.007208141,Society,Embodied value added total,1
Nickel,0.569063794,Indonesia,0.304,Indonesia 30.4%,0.007208141,Society,Global Peace Index,2
Nickel,0.569063794,Indonesia,0.304,Indonesia 30.4%,0.007208141,Society,"Health expenditure, total",4
Nickel,0.569063794,Indonesia,0.304,Indonesia 30.4%,0.007208141,Society,"Illiteracy rate, total",3
Nickel,0.569063794,Indonesia,0.304,Indonesia 30.4%,0.007208141,Society,Life expectancy at birth,3
Nickel,0.569063794,Indonesia,0.304,Indonesia 30.4%,0.007208141,Society,Public expenditure on education,3
Nickel,0.569063794,Indonesia,0.304,Indonesia 30.4%,0.043248848,Value Chain Actors,Public sector corruption,5
Nickel,0.569063794,Indonesia,0.304,Indonesia 30.4%,0.006178407,Workers,"Children in employment, total",2
Nickel,0.569063794,Indonesia,0.304,Indonesia 30.4%,0.006178407,Workers,Evidence of violations of laws and employment regulations,3
Nickel,0.569063794,Indonesia,0.304,Indonesia 30.4%,0.006178407,Workers,"Sector average wage, per month",4
Nickel,0.569063794,Indonesia,0.304,Indonesia 30.4%,0.006178407,Workers,Trade union density,5
Nickel,0.569063794,Indonesia,0.304,Indonesia 30.4%,0.006178407,Workers,Weekly hours of work per employee,3
Nickel,0.569063794,Indonesia,0.304,Indonesia 30.4%,0.006178407,Workers,Women in the sectoral labour force,1
Nickel,0.569063794,Indonesia,0.304,Indonesia 30.4%,0.006178407,Workers,Workers affected by natural disasters,1
Nickel,0.569063794,New Caledonia,0.08,New Caledonia 8%,0.002845319,Local Community,Drinking water coverage,1
Nickel,0.569063794,New Caledonia,0.08,New Caledonia 8%,0.002845319,Local Community,International Migrant Stock,5
Nickel,0.569063794,New Caledonia,0.08,New Caledonia 8%,0.002845319,Local Community,Presence of indigenous population,3
Nickel,0.569063794,New Caledonia,0.08,New Caledonia 8%,0.002845319,Local Community,Sanitation coverage,4
Nickel,0.569063794,New Caledonia,0.08,New Caledonia 8%,0.001896879,Society,Embodied value added total,4
Nickel,0.569063794,New Caledonia,0.08,New Caledonia 8%,0.001896879,Society,Global Peace Index,4
Nickel,0.569063794,New Caledonia,0.08,New Caledonia 8%,0.001896879,Society,"Health expenditure, total",3
Nickel,0.569063794,New Caledonia,0.08,New Caledonia 8%,0.001896879,Society,"Illiteracy rate, total",2
Nickel,0.569063794,New Caledonia,0.08,New Caledonia 8%,0.001896879,Society,Life expectancy at birth,1
Nickel,0.569063794,New Caledonia,0.08,New Caledonia 8%,0.001896879,Society,Public expenditure on education,2
Nickel,0.569063794,New Caledonia,0.08,New Caledonia 8%,0.011381276,Value Chain Actors,Public sector corruption,4
Nickel,0.569063794,New Caledonia,0.08,New Caledonia 8%,0.001625897,Workers,"Children in employment, total",3
Nickel,0.569063794,New Caledonia,0.08,New Caledonia 8%,0.001625897,Workers,Evidence of violations of laws and employment regulations,4
Nickel,0.569063794,New Caledonia,0.08,New Caledonia 8%,0.001625897,Workers,"Sector average wage, per month",2
Nickel,0.569063794,New Caledonia,0.08,New Caledonia 8%,0.001625897,Workers,Trade union density,4
Nickel,0.569063794,New Caledonia,0.08,New Caledonia 8%,0.001625897,Workers,Weekly hours of work per employee,3
Nickel,0.569063794,New Caledonia,0.08,New Caledonia 8%,0.001625897,Workers,Women in the sectoral labour force,2
Nickel,0.569063794,New Caledonia,0.08,New Caledonia 8%,0.001625897,Workers,Workers affected by natural disasters,1
Nickel,0.569063794,Philippines,0.128,Philippines 12.8%,0.00455251,Local Community,Drinking water coverage,2
Nickel,0.569063794,Philippines,0.128,Philippines 12.8%,0.00455251,Local Community,International Migrant Stock,1
Nickel,0.569063794,Philippines,0.128,Philippines 12.8%,0.00455251,Local Community,Presence of indigenous population,3
Nickel,0.569063794,Philippines,0.128,Philippines 12.8%,0.00455251,Local Community,Sanitation coverage,4
Nickel,0.569063794,Philippines,0.128,Philippines 12.8%,0.003035007,Society,Embodied value added total,1
Nickel,0.569063794,Philippines,0.128,Philippines 12.8%,0.003035007,Society,Global Peace Index,4
Nickel,0.569063794,Philippines,0.128,Philippines 12.8%,0.003035007,Society,"Health expenditure, total",4
Nickel,0.569063794,Philippines,0.128,Philippines 12.8%,0.003035007,Society,"Illiteracy rate, total",2
Nickel,0.569063794,Philippines,0.128,Philippines 12.8%,0.003035007,Society,Life expectancy at birth,3
Nickel,0.569063794,Philippines,0.128,Philippines 12.8%,0.003035007,Society,Public expenditure on education,3
Nickel,0.569063794,Philippines,0.128,Philippines 12.8%,0.018210041,Value Chain Actors,Public sector corruption,5
Nickel,0.569063794,Philippines,0.128,Philippines 12.8%,0.002601434,Workers,"Children in employment, total",3
Nickel,0.569063794,Philippines,0.128,Philippines 12.8%,0.002601434,Workers,Evidence of violations of laws and employment regulations,3
Nickel,0.569063794,Philippines,0.128,Philippines 12.8%,0.002601434,Workers,"Sector average wage, per month",4
