Country,Mining share,Label,Area,Stakeholder,Indicator,Value,Area if each stakeholder has the same weight,Subcategory
Gabon,15%,Gabon 15.1%,0.008408408,Society,"Illiteracy rate, total",5,0.006306306,Contribution to economic development
Gabon,15%,Gabon 15.1%,0.008408408,Society,Life expectancy at birth,4,0.006306306,Health and Safety
Gabon,15%,Gabon 15.1%,0.008408408,Society,Public expenditure on education,3,0.006306306,Contribution to economic development
Gabon,15%,Gabon 15.1%,0.008408408,Value Chain Actors,Public sector corruption,5,0.037837838,Corruption
Gabon,15%,Gabon 15.1%,0.008408408,Workers,"Children in employment, total",5,0.005405405,Child labour
Gabon,15%,Gabon 15.1%,0.008408408,Workers,Evidence of violations of laws and employment regulations,4,0.005405405,"Social benefits, legal issues"
Gabon,15%,Gabon 15.1%,0.008408408,Workers,"Sector average wage, per month",3,0.005405405,Fair Salary
Gabon,15%,Gabon 15.1%,0.008408408,Workers,Trade union density,5,0.005405405,Freedom of association and collective bargaining
Gabon,15%,Gabon 15.1%,0.008408408,Workers,Weekly hours of work per employee,2,0.005405405,Working time
Gabon,15%,Gabon 15.1%,0.008408408,Workers,Women in the sectoral labour force,1,0.005405405,Discrimination
Gabon,15%,Gabon 15.1%,0.008408408,Workers,Workers affected by natural disasters,3,0.005405405,Health and Safety
Ghana,8%,Ghana 7.6%,0.004204204,Local Community,Drinking water coverage,5,0.00472973,Safe and healthy living conditions
Ghana,8%,Ghana 7.6%,0.004204204,Local Community,International Migrant Stock,1,0.00472973,Migration
Ghana,8%,Ghana 7.6%,0.004204204,Local Community,Presence of indigenous population,0,0.00472973,Respect of indigenous rights
Ghana,8%,Ghana 7.6%,0.004204204,Local Community,Sanitation coverage,5,0.00472973,Safe and healthy living conditions
Ghana,8%,Ghana 7.6%,0.004204204,Society,Embodied value added total,3,0.003153153,Contribution to economic development
Ghana,8%,Ghana 7.6%,0.004204204,Society,Global Peace Index,2,0.003153153,Health and Safety
Ghana,8%,Ghana 7.6%,0.004204204,Society,"Health expenditure, total",4,0.003153153,Health and Safety
Ghana,8%,Ghana 7.6%,0.004204204,Society,"Illiteracy rate, total",5,0.003153153,Contribution to economic development
Ghana,8%,Ghana 7.6%,0.004204204,Society,Life expectancy at birth,4,0.003153153,Health and Safety
Ghana,8%,Ghana 7.6%,0.004204204,Society,Public expenditure on education,2,0.003153153,Contribution to economic development
Ghana,8%,Ghana 7.6%,0.004204204,Value Chain Actors,Public sector corruption,5,0.018918919,Corruption
Ghana,8%,Ghana 7.6%,0.004204204,Workers,"Children in employment, total",5,0.002702703,Child labour
Ghana,8%,Ghana 7.6%,0.004204204,Workers,Evidence of violations of laws and employment regulations,4,0.002702703,"Social benefits, legal issues"
Ghana,8%,Ghana 7.6%,0.004204204,Workers,"Sector average wage, per month",5,0.002702703,Fair Salary
Ghana,8%,Ghana 7.6%,0.004204204,Workers,Trade union density,4,0.002702703,Freedom of association and collective bargaining
Ghana,8%,Ghana 7.6%,0.004204204,Workers,Weekly hours of work per employee,2,0.002702703,Working time
Ghana,8%,Ghana 7.6%,0.004204204,Workers,Women in the sectoral labour force,4,0.002702703,Discrimination
Ghana,8%,Ghana 7.6%,0.004204204,Workers,Workers affected by natural disasters,1,0.002702703,Health and Safety
South Africa,28%,South Africa 28.1%,0.015615616,Local Community,Drinking water coverage,3,0.017567568,Safe and healthy living conditions
South Africa,28%,South Africa 28.1%,0.015615616,Local Community,International Migrant Stock,3,0.017567568,Migration
South Africa,28%,South Africa 28.1%,0.015615616,Local Community,Presence of indigenous population,3,0.017567568,Respect of indigenous rights
South Africa,28%,South Africa 28.1%,0.015615616,Local Community,Sanitation coverage,4,0.017567568,Safe and healthy living conditions
South Africa,28%,South Africa 28.1%,0.015615616,Society,Embodied value added total,5,0.011711712,Contribution to economic development
South Africa,28%,South Africa 28.1%,0.015615616,Society,Global Peace Index,4,0.011711712,Health and Safety
South Africa,28%,South Africa 28.1%,0.015615616,Society,"Health expenditure, total",3,0.011711712,Health and Safety
South Africa,28%,South Africa 28.1%,0.015615616,Society,"Illiteracy rate, total",3,0.011711712,Contribution to economic development
South Africa,28%,South Africa 28.1%,0.015615616,Society,Life expectancy at birth,5,0.011711712,Health and Safety
South Africa,28%,South Africa 28.1%,0.015615616,Society,Public expenditure on education,1,0.011711712,Contribution to economic development
South Africa,28%,South Africa 28.1%,0.015615616,Value Chain Actors,Public sector corruption,5,0.07027027,Corruption
South Africa,28%,South Africa 28.1%,0.015615616,Workers,"Children in employment, total",5,0.01003861,Child labour
South Africa,28%,South Africa 28.1%,0.015615616,Workers,Evidence of violations of laws and employment regulations,1,0.01003861,"Social benefits, legal issues"
South Africa,28%,South Africa 28.1%,0.015615616,Workers,"Sector average wage, per month",3,0.01003861,Fair Salary
South Africa,28%,South Africa 28.1%,0.015615616,Workers,Trade union density,4,0.01003861,Freedom of association and collective bargaining
South Africa,28%,South Africa 28.1%,0.015615616,Workers,Weekly hours of work per employee,2,0.01003861,Working time
South Africa,28%,South Africa 28.1%,0.015615616,Workers,Women in the sectoral labour force,4,0.01003861,Discrimination
South Africa,28%,South Africa 28.1%,0.015615616,Workers,Workers affected by natural disasters,1,0.01003861,Health and Safety
Rest of the world,0.178378378,Rest of the world 17.8%,0.178378378,,,3.366893797,0.178378378,
